date,open,high,low,close,volume,amount,suspended
2020-02-10,1.116,1.123,1.089,1.113,118079300,131179756,False
2020-02-11,1.114,1.119,1.09,1.098,24949100,27466700,False
2020-02-12,1.096,1.146,1.092,1.144,50270500,56465739,False
2020-02-13,1.143,1.154,1.124,1.14,60784000,69125144,False
2020-02-14,1.13,1.158,1.117,1.132,58584400,66629045,False
2020-02-17,1.136,1.19,1.136,1.188,75210700,87554946,False
2020-02-18,1.198,1.207,1.17,1.205,58851600,69836019,False
2020-02-19,1.199,1.202,1.178,1.181,73597500,87603361,False
2020-02-20,1.179,1.201,1.17,1.197,60375500,71686787,False
2020-02-21,1.197,1.27,1.197,1.242,80868600,99966521,False
2020-02-24,1.245,1.289,1.241,1.284,121239900,153827274,False
2020-02-25,1.252,1.337,1.205,1.298,149622400,188984281,False
2020-02-26,1.27,1.28,1.223,1.236,115208100,144592609,False
2020-02-27,1.236,1.265,1.195,1.237,81809900,100738430,False
2020-02-28,1.17,1.202,1.14,1.152,113811700,133754060,False
2020-03-02,1.171,1.206,1.142,1.194,77402701,91439530,False
2020-03-03,1.218,1.268,1.204,1.224,101939600,126275218,False
2020-03-04,1.205,1.232,1.178,1.209,79433300,95941558,False
2020-03-05,1.242,1.248,1.189,1.208,70895500,86144404,False
2020-03-06,1.185,1.208,1.17,1.191,39887100,47650182,False
2020-03-09,1.171,1.175,1.123,1.124,77142600,88815508,False
2020-03-10,1.108,1.181,1.108,1.181,69353400,79812164,False
2020-03-11,1.188,1.202,1.155,1.159,45272500,53491258,False
2020-03-12,1.131,1.151,1.125,1.137,38882700,44190242,False
2020-03-13,1.101,1.164,1.083,1.148,55103000,62092664,False
2020-03-16,1.15,1.159,1.076,1.088,49569900,55350739,False
2020-03-17,1.108,1.116,1.05,1.09,35271400,38280067,False
2020-03-18,1.101,1.127,1.077,1.078,36771600,40634540,False
2020-03-19,1.088,1.101,1.053,1.094,42576400,45910460,False
2020-03-20,1.12,1.12,1.074,1.09,28074500,30705322,False
2020-03-23,1.057,1.073,1.021,1.029,40348600,42250165,False
2020-03-24,1.054,1.059,1.007,1.048,28855300,29993973,False
2020-03-25,1.073,1.08,1.06,1.069,36909500,39528152,False
2020-03-26,1.062,1.076,1.051,1.054,22642500,24044600,False
2020-03-27,1.061,1.074,1.042,1.047,15632000,16513185,False
2020-03-30,1.03,1.03,0.988,1.003,35437200,35499590,False
2020-03-31,1.014,1.025,1.003,1.008,16478800,16718351,False
2020-04-01,1.008,1.031,1.0,1.008,19529100,19918066,False
2020-04-02,1.004,1.05,1.002,1.049,29037400,29878320,False
2020-04-03,1.051,1.053,1.028,1.034,15938900,16574762,False
2020-04-07,1.054,1.069,1.053,1.068,22924101,24345689,False
2020-04-08,1.063,1.073,1.061,1.067,13960701,14880793,False
2020-04-09,1.07,1.078,1.062,1.075,26107401,27999244,False
2020-04-10,1.073,1.074,1.03,1.035,22689900,23721718,False
2020-04-13,1.032,1.032,1.002,1.009,17843900,18052908,False
2020-04-14,1.015,1.039,1.011,1.039,19890759,20410987,False
2020-04-15,1.039,1.051,1.033,1.034,14271900,14892506,False
2020-04-16,1.032,1.045,1.022,1.041,13694900,14199952,False
2020-04-17,1.05,1.065,1.044,1.051,23986600,25332204,False
2020-04-20,1.051,1.07,1.047,1.07,23813100,25300435,False
2020-04-21,1.065,1.077,1.054,1.077,36828500,39354626,False
2020-04-22,1.07,1.075,1.058,1.071,18472100,19687483,False
2020-04-23,1.073,1.076,1.055,1.056,14616600,15511306,False
2020-04-24,1.051,1.063,1.031,1.035,17175500,17920675,False
2020-04-27,1.032,1.04,1.027,1.033,11300400,11687386,False
2020-04-28,1.032,1.037,0.991,1.032,39171200,39852762,False
2020-04-29,1.026,1.035,1.018,1.03,10284000,10585656,False
2020-04-30,1.039,1.078,1.035,1.074,45193700,48113332,False
2020-05-06,1.069,1.11,1.065,1.107,37695100,41058676,False
2020-05-07,1.1,1.115,1.094,1.097,16609200,18314514,False
2020-05-08,1.102,1.133,1.102,1.118,26901965,30133136,False
2020-05-11,1.124,1.132,1.101,1.109,17726300,19764331,False
2020-05-12,1.11,1.114,1.09,1.112,15801100,17422033,False
2020-05-13,1.106,1.113,1.098,1.11,16620900,18398060,False
2020-05-14,1.101,1.11,1.096,1.097,13672000,15077745,False
2020-05-15,1.098,1.119,1.098,1.105,21818400,24180270,False
2020-05-18,1.11,1.115,1.078,1.083,27970800,30548526,False
2020-05-19,1.093,1.099,1.081,1.099,28717300,31304935,False
2020-05-20,1.099,1.103,1.082,1.087,16256300,17780974,False
2020-05-21,1.089,1.095,1.057,1.059,21179500,22683472,False
2020-05-22,1.059,1.067,1.036,1.049,19253844,20256083,False
2020-05-25,1.045,1.045,1.016,1.026,24411500,25024066,False
2020-05-26,1.026,1.048,1.025,1.047,18352300,19082720,False
2020-05-27,1.047,1.051,1.03,1.035,11428300,11861329,False
2020-05-28,1.035,1.042,1.018,1.032,13510500,13908289,False
2020-05-29,1.031,1.039,1.027,1.034,8652000,8948118,False
2020-06-01,1.042,1.074,1.04,1.072,23706756,25162168,False
2020-06-02,1.074,1.081,1.065,1.076,16031035,17207306,False
2020-06-03,1.08,1.085,1.069,1.07,18384535,19800713,False
2020-06-04,1.068,1.079,1.06,1.065,11097300,11828484,False
2020-06-05,1.066,1.071,1.061,1.069,15024900,16030838,False
2020-06-08,1.071,1.086,1.067,1.069,14810300,15960519,False
2020-06-09,1.069,1.074,1.063,1.071,10674200,11420251,False
2020-06-10,1.071,1.08,1.063,1.08,31225400,33460962,False
2020-06-11,1.078,1.097,1.071,1.08,46021800,49748491,False
2020-06-12,1.052,1.086,1.051,1.079,16916500,18138877,False
2020-06-15,1.07,1.08,1.061,1.061,12638800,13521503,False
2020-06-16,1.076,1.086,1.071,1.086,13735700,14834783,False
2020-06-17,1.086,1.09,1.076,1.089,10704100,11587023,False
2020-06-18,1.082,1.098,1.082,1.095,13457200,14691230,False
2020-06-19,1.09,1.109,1.09,1.106,23003200,25387985,False
2020-06-22,1.118,1.129,1.108,1.124,24134500,27041811,False
2020-06-23,1.124,1.128,1.111,1.126,13190200,14779419,False
2020-06-24,1.125,1.138,1.125,1.137,19970100,22648189,False
2020-06-29,1.129,1.13,1.108,1.113,18416800,20585048,False
2020-06-30,1.114,1.148,1.114,1.144,29705200,33829476,False
2020-07-01,1.15,1.151,1.123,1.14,23681900,26984912,False
2020-07-02,1.137,1.161,1.137,1.161,35510500,40958176,False
2020-07-03,1.162,1.178,1.149,1.178,27060508,31467655,False
2020-07-06,1.191,1.244,1.189,1.231,44084306,53474747,False
2020-07-07,1.27,1.297,1.233,1.253,53577592,67940889,False
2020-07-08,1.255,1.291,1.246,1.289,37008084,47051844,False
2020-07-09,1.278,1.353,1.278,1.352,57998900,77105131,False
2020-07-10,1.363,1.367,1.32,1.325,63223700,85023498,False
2020-07-13,1.327,1.367,1.326,1.364,42539700,57298027,False
2020-07-14,1.359,1.36,1.291,1.321,61706273,81576486,False
2020-07-15,1.321,1.321,1.263,1.269,45287000,58391852,False
2020-07-16,1.268,1.286,1.2,1.204,49463800,61782359,False
2020-07-17,1.204,1.23,1.186,1.207,32308300,38962921,False
2020-07-20,1.223,1.242,1.189,1.241,61352500,74476512,False
2020-07-21,1.241,1.249,1.221,1.232,42239600,52132638,False
2020-07-22,1.232,1.266,1.226,1.25,38671494,48396529,False
2020-07-23,1.236,1.246,1.201,1.235,40264944,49275960,False
2020-07-24,1.225,1.235,1.17,1.176,44966450,54031356,False
2020-07-27,1.166,1.195,1.166,1.185,14527100,17177594,False
2020-07-28,1.195,1.198,1.18,1.191,11253400,13376447,False
2020-07-29,1.185,1.232,1.185,1.231,25976300,31478916,False
2020-07-30,1.237,1.237,1.21,1.215,37463900,45537336,False
2020-07-31,1.214,1.235,1.205,1.224,24232500,29678196,False
2020-08-03,1.232,1.276,1.232,1.273,56245500,70710271,False
2020-08-04,1.278,1.28,1.253,1.256,25039300,31656317,False
2020-08-05,1.286,1.29,1.255,1.268,23858600,30332330,False
2020-08-06,1.28,1.287,1.253,1.283,29813400,37883445,False
2020-08-07,1.272,1.277,1.244,1.264,23689700,29859301,False
2020-08-10,1.253,1.278,1.253,1.269,17042900,21623601,False
2020-08-11,1.27,1.275,1.234,1.235,19317300,24266434,False
2020-08-12,1.23,1.24,1.202,1.23,18523700,22545863,False
2020-08-13,1.233,1.24,1.223,1.228,11075100,13631297,False
2020-08-14,1.227,1.255,1.223,1.255,15354921,19093444,False
2020-08-17,1.255,1.276,1.248,1.273,15075321,19082001,False
2020-08-18,1.277,1.279,1.266,1.271,14336337,18240520,False
2020-08-19,1.274,1.274,1.239,1.245,11174900,14009833,False
2020-08-20,1.235,1.25,1.228,1.232,7690900,9513296,False
2020-08-21,1.246,1.255,1.228,1.24,9142900,11356952,False
2020-08-24,1.24,1.257,1.229,1.256,10178400,12697171,False
2020-08-25,1.253,1.265,1.245,1.249,10001700,12545220,False
2020-08-26,1.25,1.254,1.221,1.226,10748800,13294996,False
2020-08-27,1.224,1.236,1.207,1.232,11847900,14513808,False
2020-08-28,1.228,1.241,1.216,1.241,11329121,13882325,False
2020-08-31,1.24,1.252,1.235,1.238,15514642,19331586,False
2020-09-01,1.23,1.245,1.226,1.245,10578600,13050792,False
2020-09-02,1.245,1.252,1.235,1.248,12526900,15574392,False
2020-09-03,1.248,1.248,1.227,1.229,19829500,24470078,False
2020-09-04,1.204,1.229,1.204,1.224,9210474,11219827,False
2020-09-07,1.224,1.234,1.199,1.202,13237834,16094377,False
2020-09-08,1.2,1.21,1.186,1.2,9098100,10885407,False
2020-09-09,1.191,1.191,1.155,1.159,10658200,12488945,False
2020-09-10,1.173,1.179,1.119,1.122,13190100,15105542,False
2020-09-11,1.122,1.143,1.117,1.143,7684200,8685918,False
2020-09-14,1.144,1.159,1.142,1.155,9879300,11374562,False
2020-09-15,1.155,1.164,1.149,1.159,5727300,6628472,False
2020-09-16,1.16,1.165,1.143,1.152,9243500,10645845,False
2020-09-17,1.151,1.167,1.14,1.158,6048200,6988007,False
2020-09-18,1.154,1.175,1.154,1.173,7521700,8759008,False
2020-09-21,1.173,1.181,1.166,1.168,5618800,6593384,False
2020-09-22,1.16,1.165,1.146,1.152,8475400,9795823,False
2020-09-23,1.153,1.158,1.147,1.156,5063400,5843183,False
2020-09-24,1.155,1.155,1.13,1.131,8179700,9310574,False
2020-09-25,1.13,1.14,1.12,1.126,6481100,7310811,False
2020-09-28,1.13,1.133,1.116,1.121,6363700,7135457,False
2020-09-29,1.131,1.137,1.122,1.132,7995200,9053149,False
2020-09-30,1.134,1.139,1.121,1.127,7120300,8051534,False
2020-10-09,1.136,1.158,1.136,1.155,10097100,11624175,False
2020-10-12,1.156,1.19,1.156,1.189,11905500,14043431,False
2020-10-13,1.189,1.196,1.181,1.192,8826000,10498010,False
2020-10-14,1.191,1.191,1.172,1.175,6870500,8098482,False
2020-10-15,1.175,1.181,1.163,1.17,4455600,5242119,False
2020-10-16,1.164,1.17,1.152,1.16,10461500,12137407,False
2020-10-19,1.167,1.175,1.153,1.154,7639100,8899794,False
2020-10-20,1.151,1.168,1.149,1.167,8330300,9641142,False
2020-10-21,1.172,1.172,1.14,1.145,9317400,10718526,False
2020-10-22,1.144,1.15,1.135,1.143,7811100,8942216,False
2020-10-23,1.148,1.156,1.13,1.131,7342400,8370237,False
2020-10-26,1.131,1.154,1.125,1.144,6518478,7468882,False
2020-10-27,1.145,1.154,1.14,1.153,6203200,7128084,False
2020-10-28,1.151,1.157,1.133,1.151,11477400,13146657,False
2020-10-29,1.144,1.151,1.135,1.148,8331000,9525424,False
2020-10-30,1.148,1.161,1.13,1.136,12065316,13869162,False
2020-11-02,1.132,1.14,1.114,1.13,13144500,14773182,False
2020-11-03,1.134,1.15,1.129,1.15,12918400,14781712,False
2020-11-04,1.156,1.156,1.14,1.146,11441800,13134248,False
2020-11-05,1.161,1.176,1.154,1.176,18786900,21909888,False
2020-11-06,1.184,1.188,1.167,1.179,18534900,21825472,False
2020-11-09,1.19,1.218,1.185,1.204,37007700,44565590,False
2020-11-10,1.204,1.204,1.179,1.186,22366700,26519097,False
2020-11-11,1.178,1.185,1.153,1.157,22062300,25726251,False
2020-11-12,1.165,1.181,1.163,1.175,46503644,54474803,False
2020-11-13,1.169,1.169,1.148,1.167,24319600,28181283,False
2020-11-16,1.168,1.173,1.15,1.164,11083100,12846473,False
2020-11-17,1.162,1.163,1.132,1.151,19073400,21830461,False
2020-11-18,1.146,1.152,1.136,1.144,15173900,17335211,False
2020-11-19,1.141,1.16,1.135,1.159,17018200,19615844,False
2020-11-20,1.159,1.162,1.151,1.158,10431000,12055623,False
2020-11-23,1.159,1.164,1.144,1.155,13296000,15318674,False
2020-11-24,1.155,1.158,1.146,1.151,9311500,10735510,False
2020-11-25,1.155,1.155,1.136,1.137,13847000,15845910,False
2020-11-26,1.135,1.139,1.124,1.131,14790800,16730534,False
2020-11-27,1.13,1.137,1.124,1.136,8857200,10013928,False
2020-11-30,1.136,1.143,1.121,1.133,17160900,19471811,False
2020-12-01,1.133,1.145,1.13,1.145,11453300,13055242,False
2020-12-02,1.145,1.147,1.137,1.144,16413200,18736113,False
2020-12-03,1.145,1.151,1.136,1.15,17252800,19758053,False
2020-12-04,1.145,1.149,1.14,1.146,9468100,10837780,False
2020-12-07,1.148,1.15,1.136,1.137,13582100,15515955,False
2020-12-08,1.139,1.139,1.131,1.133,9753900,11050885,False
2020-12-09,1.132,1.133,1.115,1.117,22786700,25591061,False
2020-12-10,1.118,1.122,1.104,1.114,13082049,14547969,False
2020-12-11,1.115,1.115,1.091,1.096,19896700,21896398,False
2020-12-14,1.096,1.104,1.089,1.103,6368800,6982293,False
2020-12-15,1.105,1.111,1.099,1.11,8652100,9572696,False
2020-12-16,1.11,1.11,1.099,1.1,6075900,6707689,False
2020-12-17,1.105,1.105,1.081,1.102,15862000,17302071,False
2020-12-18,1.101,1.105,1.091,1.094,7570600,8316267,False
2020-12-21,1.094,1.107,1.089,1.106,9851800,10865874,False
2020-12-22,1.106,1.108,1.075,1.075,19702900,21437483,False
2020-12-23,1.079,1.082,1.062,1.08,18350400,19669383,False
2020-12-24,1.08,1.084,1.064,1.064,10652800,11414162,False
2020-12-25,1.064,1.067,1.056,1.06,16480700,17483661,False
2020-12-28,1.058,1.058,1.042,1.044,14224900,14917781,False
2020-12-29,1.044,1.08,1.044,1.074,27075200,28876968,False
2020-12-30,1.078,1.082,1.065,1.08,13787200,14833458,False
2020-12-31,1.081,1.112,1.081,1.111,28406600,31378073,False
2021-01-04,1.118,1.13,1.107,1.127,25090657,28110499,False
2021-01-05,1.125,1.155,1.12,1.151,35434650,40591873,False
2021-01-06,1.15,1.154,1.13,1.134,27193443,31048191,False
2021-01-07,1.135,1.14,1.103,1.118,24928079,27852669,False
2021-01-08,1.115,1.153,1.111,1.15,36112653,41200845,False
2021-01-11,1.154,1.179,1.148,1.166,41672400,48578155,False
2021-01-12,1.158,1.174,1.149,1.173,26514621,30868586,False
2021-01-13,1.175,1.184,1.168,1.175,30126400,35443150,False
2021-01-14,1.175,1.203,1.163,1.19,39581050,47025539,False
2021-01-15,1.188,1.189,1.154,1.161,23169600,27108972,False
2021-01-18,1.16,1.193,1.153,1.185,24220600,28550270,False
2021-01-19,1.2,1.21,1.181,1.186,34714238,41555917,False
2021-01-20,1.177,1.188,1.175,1.188,17828856,21075948,False
2021-01-21,1.188,1.22,1.188,1.219,39522000,47655909,False
2021-01-22,1.222,1.223,1.187,1.204,22921500,27522213,False
2021-01-25,1.191,1.211,1.179,1.198,27989800,33445469,False
2021-01-26,1.182,1.198,1.168,1.168,20143000,23793476,False
2021-01-27,1.168,1.182,1.16,1.18,14265300,16723838,False
2021-01-28,1.165,1.166,1.124,1.129,19185100,21936680,False
2021-01-29,1.13,1.141,1.094,1.108,17504100,19551564,False
2021-02-01,1.107,1.129,1.106,1.122,9716200,10884309,False
2021-02-02,1.122,1.142,1.12,1.141,11858300,13445414,False
2021-02-03,1.141,1.141,1.097,1.104,13793100,15443667,False
2021-02-04,1.109,1.109,1.068,1.087,18320100,19861080,False
2021-02-05,1.087,1.093,1.062,1.064,11924300,12819131,False
2021-02-08,1.066,1.086,1.059,1.077,9962400,10696653,False
2021-02-09,1.073,1.11,1.073,1.11,15272700,16764693,False
