date,total_value,year,daily_ret
2018-01-02,1000000.0,2018,
2018-01-03,1000000.0,2018,0.0
2018-01-04,1000000.0,2018,0.0
2018-01-05,1000000.0,2018,0.0
2018-01-08,1000000.0,2018,0.0
2018-01-09,1000000.0,2018,0.0
2018-01-10,1000000.0,2018,0.0
2018-01-11,1000000.0,2018,0.0
2018-01-12,1000000.0,2018,0.0
2018-01-15,1000000.0,2018,0.0
2018-01-16,1000000.0,2018,0.0
2018-01-17,1000000.0,2018,0.0
2018-01-18,1000000.0,2018,0.0
2018-01-19,1000000.0,2018,0.0
2018-01-22,1000000.0,2018,0.0
2018-01-23,1000000.0,2018,0.0
2018-01-24,1000000.0,2018,0.0
2018-01-25,1000000.0,2018,0.0
2018-01-26,1000000.0,2018,0.0
2018-01-29,1000000.0,2018,0.0
2018-01-30,1000000.0,2018,0.0
2018-01-31,1000000.0,2018,0.0
2018-02-01,1000000.0,2018,0.0
2018-02-02,1000000.0,2018,0.0
2018-02-05,1000000.0,2018,0.0
2018-02-06,1000000.0,2018,0.0
2018-02-07,1000000.0,2018,0.0
2018-02-08,1000000.0,2018,0.0
2018-02-09,1000000.0,2018,0.0
2018-02-12,1000000.0,2018,0.0
2018-02-13,1000000.0,2018,0.0
2018-02-14,1000000.0,2018,0.0
2018-02-22,1000000.0,2018,0.0
2018-02-23,1000000.0,2018,0.0
2018-02-26,1000000.0,2018,0.0
2018-02-27,1000000.0,2018,0.0
2018-02-28,1000000.0,2018,0.0
2018-03-01,1000000.0,2018,0.0
2018-03-02,1000000.0,2018,0.0
2018-03-05,1000000.0,2018,0.0
2018-03-06,1000000.0,2018,0.0
2018-03-07,1000000.0,2018,0.0
2018-03-08,1000000.0,2018,0.0
2018-03-09,1000000.0,2018,0.0
2018-03-12,1000000.0,2018,0.0
2018-03-13,1000000.0,2018,0.0
2018-03-14,1000000.0,2018,0.0
2018-03-15,1000000.0,2018,0.0
2018-03-16,1000000.0,2018,0.0
2018-03-19,1000000.0,2018,0.0
2018-03-20,1000000.0,2018,0.0
2018-03-21,1000000.0,2018,0.0
2018-03-22,1000000.0,2018,0.0
2018-03-23,1000000.0,2018,0.0
2018-03-26,1000000.0,2018,0.0
2018-03-27,1000000.0,2018,0.0
2018-03-28,1000000.0,2018,0.0
2018-03-29,1000000.0,2018,0.0
2018-03-30,1000000.0,2018,0.0
2018-04-02,1000000.0,2018,0.0
2018-04-03,1000000.0,2018,0.0
2018-04-04,1000000.0,2018,0.0
2018-04-09,1000000.0,2018,0.0
2018-04-10,1000000.0,2018,0.0
2018-04-11,1000000.0,2018,0.0
2018-04-12,1000000.0,2018,0.0
2018-04-13,1000000.0,2018,0.0
2018-04-16,1000000.0,2018,0.0
2018-04-17,1000000.0,2018,0.0
2018-04-18,1000000.0,2018,0.0
2018-04-19,1000000.0,2018,0.0
2018-04-20,1000000.0,2018,0.0
2018-04-23,1000000.0,2018,0.0
2018-04-24,1000000.0,2018,0.0
2018-04-25,1000000.0,2018,0.0
2018-04-26,1000000.0,2018,0.0
2018-04-27,1000000.0,2018,0.0
2018-05-02,1000000.0,2018,0.0
2018-05-03,999506.1952000002,2018,-0.0004938047999998307
2018-05-04,1001408.7952,2018,0.0019035399771776262
2018-05-07,1021572.4952000001,2018,0.02013533343890095
2018-05-08,1028475.6952,2018,0.006757425471452638
2018-05-09,1028625.1952000001,2018,0.00014536075154514272
2018-05-10,1050312.9952000002,2018,0.021084258971299397
2018-05-11,1033850.8952000001,2018,-0.015673518346657644
2018-05-14,1045335.8952000001,2018,0.011108952029081687
2018-05-15,1057249.7952,2018,0.011397197833449058
2018-05-16,1061853.9952,2018,0.004354883794637221
2018-05-17,1051306.2952,2018,-0.009933286541916053
2018-05-18,1060634.4952000002,2018,0.008872961231745968
2018-05-21,1063692.1952,2018,0.0028828969959373563
2018-05-22,1069883.1952000002,2018,0.005820292776366642
2018-05-23,1061506.2952,2018,-0.007829733224694824
2018-05-24,1058733.5952,2018,-0.002612042917256141
2018-05-25,1071753.8952000001,2018,0.012297994565422687
2018-05-28,1087007.6952000002,2018,0.014232558489702063
2018-05-29,1050314.6952,2018,-0.03375597078293824
2018-05-30,1039151.0952000001,2018,-0.010628814441060563
2018-05-31,1068010.2952,2018,0.027771899710547387
2018-06-01,1046322.4952,2018,-0.020306733088128803
2018-06-04,1050106.0701000001,2018,0.0036160695362636996
2018-06-05,1063703.6701000002,2018,0.012948787162715192
2018-06-06,1065028.7701,2018,0.0012457416828084433
2018-06-07,1057831.3701000002,2018,-0.006757939505544153
2018-06-08,1045831.0701000001,2018,-0.011344246672194691
2018-06-11,1037683.3701000002,2018,-0.007790646341402807
2018-06-12,1056260.8701000002,2018,0.0179028599043749
2018-06-13,1043598.2701000001,2018,-0.011988136982487352
2018-06-14,1037349.4701000002,2018,-0.005987744689727403
2018-06-15,1031486.4701000002,2018,-0.005651904366842597
2018-06-19,995542.0701000002,2018,-0.03484718514680585
2018-06-20,1010151.0701000001,2018,0.014674417524648042
2018-06-21,1003961.2701000002,2018,-0.006127598319909833
2018-06-22,1009668.1701000002,2018,0.005684382625070317
2018-06-25,1003150.3701000002,2018,-0.006455388208736479
2018-06-26,993979.2701000002,2018,-0.00914229837654923
2018-06-27,966427.0701000001,2018,-0.02771908914883925
2018-06-28,954245.4701000003,2018,-0.01260477937433957
2018-06-29,981548.7701000001,2018,0.028612449160632103
2018-07-02,962797.3701000002,2018,-0.019103890271381485
2018-07-03,959816.8352000002,2018,-0.003095703200446387
2018-07-04,956015.7352000002,2018,-0.003960234766259285
2018-07-05,952282.9352000002,2018,-0.003904538244048017
2018-07-06,956109.7352000002,2018,0.004018553581658368
2018-07-09,969006.2352000002,2018,0.013488514471931667
2018-07-10,969796.3352000003,2018,0.0008153714303364978
2018-07-11,961949.2352000002,2018,-0.008091492734277894
2018-07-12,972821.4352000002,2018,0.011302259622608446
2018-07-13,974155.1352000001,2018,0.001370960745458616
2018-07-16,973020.3352000002,2018,-0.0011649068603092338
2018-07-17,970728.7352000002,2018,-0.002355140912372544
2018-07-18,968768.9352000003,2018,-0.002018895628546735
2018-07-19,969537.4352000002,2018,0.0007932748172208015
2018-07-20,978221.9352000002,2018,0.008957364290125058
2018-07-23,981742.7352000002,2018,0.003599183245957649
2018-07-24,989438.8352000003,2018,0.007839222765862575
2018-07-25,989362.0352000003,2018,-7.761975502462715e-05
2018-07-26,983920.6352000003,2018,-0.005499907825854744
2018-07-27,981991.0352000003,2018,-0.001961133785559621
2018-07-30,979642.3352000002,2018,-0.0023917733622911275
2018-07-31,981831.8352000003,2018,0.0022349993679613434
2018-08-01,972471.4352000002,2018,-0.009533608164267182
2018-08-02,962492.2642000002,2018,-0.010261659765818831
2018-08-03,956545.0642000004,2018,-0.006178958752404151
2018-08-06,952239.3642000002,2018,-0.004501303870718565
2018-08-07,964866.4642000003,2018,0.013260426395634628
2018-08-08,957725.4642000003,2018,-0.00740102414681898
2018-08-09,967844.9642000003,2018,0.010566180370334965
2018-08-10,968082.3642000002,2018,0.0002452872193183797
2018-08-13,965475.8642000002,2018,-0.0026924361979818734
2018-08-14,964576.5642000003,2018,-0.0009314577747058239
2018-08-15,952212.3642000002,2018,-0.012818267060277
2018-08-16,950182.9642000003,2018,-0.0021312472682549766
2018-08-17,939591.6642000002,2018,-0.011146590076909324
2018-08-20,944966.5642000004,2018,0.00572046369161483
2018-08-21,952552.4642000003,2018,0.008027691441571783
2018-08-22,951989.4642000003,2018,-0.0005910435604959963
2018-08-23,953818.0642000003,2018,0.001920819577070354
2018-08-24,955198.7642000002,2018,0.0014475506931797
2018-08-27,966319.8642000002,2018,0.011642707692690601
2018-08-28,965688.0642000003,2018,-0.0006538207724033906
2018-08-29,964640.5642000003,2018,-0.0010847188018915377
2018-08-30,960089.1642000002,2018,-0.004718234095592466
2018-08-31,957422.1642000002,2018,-0.00277786699344984
2018-09-03,955837.6642000002,2018,-0.0016549648203767475
2018-09-04,960534.7642000003,2018,0.004914118972212167
2018-09-05,951715.8642000003,2018,-0.009181239793382145
2018-09-06,947669.5642000003,2018,-0.0042515840622256995
2018-09-07,950188.5642000003,2018,0.00265809950552387
2018-09-10,943898.1642000002,2018,-0.00662015965777929
2018-09-11,941386.1642000002,2018,-0.002661304042400614
2018-09-12,939130.4642000003,2018,-0.002396147389649439
2018-09-13,943647.3642000002,2018,0.004809661886378658
2018-09-14,944218.4642000003,2018,0.0006052048907954077
2018-09-17,940109.1642000002,2018,-0.004352064861897875
2018-09-18,948324.0642000003,2018,0.008738240528684438
2018-09-19,954462.7642000002,2018,0.006473209139935321
2018-09-20,954355.7642000003,2018,-0.00011210494952051953
2018-09-21,969020.3642000002,2018,0.01536596786031108
2018-09-25,964367.0642000001,2018,-0.004802066263944527
2018-09-26,969924.4642000003,2018,0.005762743468028297
2018-09-27,968167.1642000002,2018,-0.0018117905722168093
2018-09-28,974264.3642000002,2018,0.006297672783643904
2018-10-08,953300.2642000003,2018,-0.021517876225734867
2018-10-09,954237.4586000002,2018,0.0009831051508062405
2018-10-10,951996.4586000002,2018,-0.0023484720493868183
2018-10-11,930557.6586000003,2018,-0.022519831671987234
2018-10-12,939130.5586000003,2018,0.009212647836242427
2018-10-15,933375.2586000002,2018,-0.0061283278957292575
2018-10-16,930557.3586000003,2018,-0.0030190429562345633
2018-10-17,932317.4586000004,2018,0.0018914470814008766
2018-10-18,923854.8586000004,2018,-0.00907695111996265
2018-10-19,934713.7586000003,2018,0.011753902573457653
2018-10-22,956538.9586000004,2018,0.023349608154574986
2018-10-23,941376.6586000002,2018,-0.015851210098323465
2018-10-24,942177.3586000003,2018,0.000850562835486901
2018-10-25,943980.9586000002,2018,0.001914289261503832
2018-10-26,939545.0586000003,2018,-0.004699141396431017
2018-10-29,926453.9586000002,2018,-0.013933445639644937
2018-10-30,931285.8586000003,2018,0.0052154777419286535
2018-10-31,936468.5586000003,2018,0.005565101147129159
2018-11-01,939929.8586000003,2018,0.0036961198197347223
2018-11-02,957069.6940000003,2018,0.01823522813237277
2018-11-05,952078.9940000003,2018,-0.005214562775613274
2018-11-06,949736.8940000002,2018,-0.0024599849537275675
2018-11-07,946752.9940000002,2018,-0.0031418175063545606
2018-11-08,946860.4940000002,2018,0.00011354598367385726
2018-11-09,941145.1940000003,2018,-0.006036052867572583
2018-11-12,947098.3940000002,2018,0.00632548520457088
2018-11-13,951337.5940000003,2018,0.004475986895190687
2018-11-14,946821.1940000003,2018,-0.004747420924479995
2018-11-15,954480.0940000003,2018,0.00808906692048561
2018-11-16,956570.0940000003,2018,0.0021896737429496493
2018-11-19,961564.3940000002,2018,0.005221049697587521
2018-11-20,950422.2940000002,2018,-0.011587471488674894
2018-11-21,951113.3940000002,2018,0.0007271504512917915
2018-11-22,949512.8940000003,2018,-0.0016827646525603424
2018-11-23,935467.5940000003,2018,-0.014792110869428665
2018-11-26,936047.6940000003,2018,0.0006201176863001034
2018-11-27,935840.3940000002,2018,-0.0002214630742950474
2018-11-28,942455.5940000002,2018,0.007068726721364271
2018-11-29,937937.3940000002,2018,-0.004794072027121898
2018-11-30,942573.8940000002,2018,0.004943293688533856
2018-12-03,954345.4940000003,2018,0.012488782126189646
2018-12-04,956533.6328000001,2018,0.002292816190527125
2018-12-05,955600.5328000003,2018,-0.0009755015066940098
2018-12-06,947621.3328000003,2018,-0.008349932556672157
2018-12-07,946523.9328000003,2018,-0.0011580575088547818
2018-12-10,943226.3328000002,2018,-0.00348390556828837
2018-12-11,945660.4328000002,2018,0.00258061073504412
2018-12-12,947237.6328000003,2018,0.0016678291121159372
2018-12-13,953788.0328000003,2018,0.0069152657930589
2018-12-14,945297.9328000003,2018,-0.008901453685758565
2018-12-17,945241.6328000003,2018,-5.955794257717084e-05
2018-12-18,940182.7328000002,2018,-0.005351964856874281
2018-12-19,936385.1328000003,2018,-0.004039214790395262
2018-12-20,932560.4328000002,2018,-0.004084537297771251
2018-12-21,928296.1328000003,2018,-0.004572679528335177
2018-12-24,929109.4328000003,2018,0.0008761212842145483
2018-12-25,926191.7328000002,2018,-0.003140318994725111
2018-12-26,923833.4328000003,2018,-0.002546233049252611
2018-12-27,923076.1328000003,2018,-0.0008197365164679393
2018-12-28,926725.9328000003,2018,0.003953953385111397
2019-01-02,919684.2328000002,2019,-0.0075984708647618415
2019-01-03,919909.7375000002,2019,0.00024519796247179926
2019-01-04,931038.4375000002,2019,0.012097599956104377
2019-01-07,933251.9375000002,2019,0.002377452864291696
2019-01-08,933181.5375000003,2019,-7.543515011443347e-05
2019-01-09,936242.4375000002,2019,0.003280069179465439
2019-01-10,936609.7375000003,2019,0.0003923129152112459
2019-01-11,939459.4375000002,2019,0.0030425692643409885
2019-01-14,935432.1375000002,2019,-0.004286826912630826
2019-01-15,943411.0375000003,2019,0.008529640665675853
2019-01-16,935999.7375000003,2019,-0.007855854665045792
2019-01-17,934060.6375000003,2019,-0.00207168861519047
2019-01-18,940927.2375000003,2019,0.007351342861827925
2019-01-21,942641.9375000002,2019,0.001822351327139593
2019-01-22,937487.9375000002,2019,-0.0054676116083579585
2019-01-23,936307.5375000003,2019,-0.0012591095338758684
2019-01-24,939655.1375000002,2019,0.003575320998630671
2019-01-25,942822.3375000003,2019,0.0033705982903755594
2019-01-28,942190.3375000003,2019,-0.0006703277753005166
2019-01-29,944364.9375000002,2019,0.0023080262166241816
2019-01-30,941947.8375000003,2019,-0.0025594978212540864
2019-01-31,946236.8375000004,2019,0.004553330693325197
2019-02-01,953736.3375000003,2019,0.007925605623021248
2019-02-11,960488.1015000002,2019,0.007079277295545028
2019-02-12,963991.5015000002,2019,0.003647520458117892
2019-02-13,973338.0015000002,2019,0.009695624894469068
2019-02-14,973614.2015000003,2019,0.00028376576232957973
2019-02-15,966618.8015000003,2019,-0.007184981473382979
2019-02-18,979205.7015000003,2019,0.01302157580678931
2019-02-19,977690.4015000002,2019,-0.0015474787347325991
2019-02-20,979118.1015000002,2019,0.0014602782208044118
2019-02-21,978358.3015000003,2019,-0.0007760044460785043
