date,type,code,shares,price
2018-05-02,CORE-BUY,510300,132700,3.766
2018-05-02,BUY,512010,268200,1.863
2018-06-01,SELL,512010,268200,2.034
2018-06-01,BUY,512010,128600,2.034
2018-06-01,BUY,159928,106700,2.45
2018-07-02,SELL,512010,128600,1.937
2018-07-02,SELL,159928,106700,2.209
2018-10-08,BUY,510050,3200,2.533
2018-11-01,SELL,510050,3200,2.507
2018-11-01,BUY,512000,11400,0.723
2018-12-03,SELL,512000,11400,0.756
2018-12-03,BUY,512000,11300,0.756
2019-01-02,SELL,512000,11300,0.681
2019-02-01,BUY,159928,3800,1.996
2019-02-01,BUY,512000,200,0.756
2019-03-01,SELL,159928,3800,2.32
2019-03-01,SELL,512000,200,0.987
2019-03-01,BUY,512880,8600,1.038
2019-04-01,SELL,512880,8600,1.088
2019-04-01,BUY,512880,8600,1.088
2019-05-06,STOP,512880,8600,0.905
2019-05-06,BUY,159928,2900,2.631
2019-06-03,SELL,159928,2900,2.717
2019-06-03,BUY,159928,2900,2.717
2019-07-01,SELL,159928,2900,2.988
2019-07-01,BUY,159928,2900,2.988
2019-08-01,SELL,159928,2900,2.867
2019-08-01,BUY,159928,2900,2.867
2019-08-01,BUY,512660,100,0.772
2019-09-02,SELL,159928,2900,3.084
2019-09-02,SELL,512660,100,0.849
2019-09-02,BUY,512690,7800,1.153
2019-10-08,SELL,512690,7800,1.131
2019-10-08,BUY,512760,7000,1.269
2019-11-01,SELL,512760,7000,1.311
2019-11-01,BUY,512010,4700,1.927
2019-12-02,SELL,512010,4700,1.818
2019-12-02,BUY,512760,6300,1.371
2020-01-02,SELL,512760,6300,1.615
2020-01-02,BUY,512760,6200,1.615
2020-02-03,SELL,512760,6200,1.76
2020-02-03,BUY,512480,6600,1.649
2020-02-28,STOP,512480,6600,2.035
2020-03-02,BUY,512480,6600,2.04
2020-03-23,STOP,512480,6600,1.651
2020-04-01,BUY,159928,3500,3.05
2020-05-06,SELL,159928,3500,3.303
2020-05-06,BUY,159928,3500,3.303
2020-05-06,BUY,512690,200,1.199
2020-06-01,SELL,159928,3500,3.46
2020-06-01,SELL,512690,200,1.363
2020-06-01,BUY,512690,9000,1.363
2020-07-01,SELL,512690,9000,1.59
2020-07-01,BUY,512690,9000,1.59
2020-08-03,SELL,512690,9000,1.757
2020-08-03,BUY,512690,9000,1.757
2020-09-01,SELL,512690,9000,1.971
2020-09-01,BUY,512660,15100,1.173
2020-10-09,SELL,512660,15100,1.109
2020-10-09,BUY,512690,9000,1.851
2020-11-02,SELL,512690,9000,2.048
2020-11-02,BUY,515030,14300,1.29
2020-12-01,SELL,515030,14300,1.361
2020-12-01,CORE-SELL,510300,12800,5.142
2020-12-01,BUY,515030,62600,1.361
2021-01-04,SELL,515030,62600,1.788
2021-01-04,BUY,515030,62500,1.788
2021-02-01,SELL,515030,62500,1.692
2021-02-01,BUY,512690,39500,2.668
2021-02-24,STOP,512690,39500,2.552
2021-03-01,BUY,512400,85000,1.185
2021-03-24,STOP,512400,85000,0.982
2021-04-01,BUY,512890,58300,1.428
2021-05-06,SELL,512890,58300,1.453
2021-05-06,BUY,512890,58200,1.453
2021-06-01,SELL,512890,58200,1.537
2021-06-01,BUY,515030,47600,1.875
2021-07-01,SELL,515030,47600,2.091
2021-07-01,BUY,515030,47500,2.091
2021-08-02,SELL,515030,47500,2.442
2021-08-02,BUY,512480,77400,1.496
2021-09-01,SELL,512480,77400,1.304
2021-09-01,BUY,512400,64700,1.556
2021-09-27,STOP,512400,64700,1.408
2021-10-08,BUY,168204,55800,1.629
2021-10-28,STOP,168204,55800,1.451
2021-11-01,BUY,512660,60900,1.327
2021-12-01,SELL,512660,60900,1.453
2021-12-01,BUY,159928,76100,1.161
2022-01-04,SELL,159928,76100,1.219
2022-01-04,BUY,512660,64200,1.443
2022-01-27,STOP,512660,64200,1.194
2022-02-07,BUY,512890,94300,0.811
2022-03-01,SELL,512890,94300,0.827
2022-03-01,BUY,168204,48000,1.621
2022-04-01,SELL,168204,48000,1.742
2022-04-01,CORE-BUY,510300,15300,4.269
2022-04-01,BUY,168204,10400,1.742
2022-04-26,STOP,168204,10400,1.52
2022-05-05,BUY,168204,9300,1.68
2022-05-05,BUY,512890,100,0.833
2022-06-01,SELL,168204,9300,1.864
2022-06-01,SELL,512890,100,0.845
2022-06-01,BUY,168204,9300,1.864
2022-06-01,BUY,512890,100,0.845
2022-07-01,SELL,168204,9300,1.882
2022-07-01,SELL,512890,100,0.848
2022-07-01,BUY,512690,19000,0.926
2022-08-01,SELL,512690,19000,0.838
2022-08-01,BUY,159875,15700,1.008
2022-09-01,SELL,159875,15700,0.9
2022-09-01,BUY,510880,4700,2.985
2022-10-10,SELL,510880,4700,2.965
2022-10-10,BUY,512100,5800,2.395
2022-11-01,SELL,512100,5800,2.584
2022-11-01,BUY,512100,5800,2.584
2022-12-01,SELL,512100,5800,2.658
2022-12-01,BUY,512100,5800,2.658
2023-01-03,SELL,512100,5800,2.564
2023-01-03,BUY,512010,31300,0.477
2023-02-01,SELL,512010,31300,0.518
2023-02-01,BUY,512690,17900,0.904
2023-03-01,SELL,512690,17900,0.941
2023-03-01,BUY,512690,17800,0.941
2023-04-03,SELL,512690,17800,0.918
2023-04-03,BUY,515050,16000,1.018
2023-05-04,SELL,515050,16000,0.915
2023-05-04,BUY,512890,14800,0.989
2023-06-01,SELL,512890,14800,0.927
2023-06-01,BUY,515050,14100,0.975
2023-07-03,SELL,515050,14100,1.07
2023-07-03,BUY,515050,14000,1.07
2023-08-01,SELL,515050,14000,1.032
2023-08-01,BUY,515050,14000,1.032
2023-09-01,SELL,515050,14000,0.946
2023-09-01,BUY,512880,13600,0.969
2023-10-09,SELL,512880,13600,0.935
2023-10-09,BUY,168204,7100,1.786
2023-11-01,SELL,168204,7100,1.707
2023-12-01,BUY,168204,6500,1.858
2023-12-01,BUY,512010,200,0.434
2024-01-02,SELL,168204,6500,1.898
2024-01-02,SELL,512010,200,0.407
2024-01-02,BUY,168204,6500,1.898
2024-02-01,SELL,168204,6500,1.917
2024-02-01,BUY,168204,6500,1.917
2024-03-01,SELL,168204,6500,2.092
2024-03-01,BUY,168204,6500,2.092
2024-04-01,SELL,168204,6500,1.966
2024-04-01,BUY,512400,11900,1.067
2024-05-06,SELL,512400,11900,1.077
2024-05-06,BUY,515050,13300,0.965
2024-06-03,SELL,515050,13300,0.946
2024-06-03,BUY,512890,11700,1.071
2024-07-01,SELL,512890,11700,1.078
2024-07-01,BUY,515050,12400,1.02
2024-08-01,SELL,515050,12400,0.984
2024-08-01,BUY,159995,13400,0.908
2024-09-02,SELL,159995,13400,0.793
2024-10-08,BUY,512000,8800,1.202
2024-11-01,SELL,512000,8800,1.102
2024-11-01,BUY,512880,8400,1.153
2024-12-02,SELL,512880,8400,1.23
2024-12-02,BUY,512880,8400,1.23
2025-01-02,SELL,512880,8400,1.106
2025-01-02,BUY,512890,8400,1.101
2025-02-05,SELL,512890,8400,1.077
2025-02-05,BUY,512480,8900,1.017
2025-03-03,SELL,512480,8900,1.093
2025-03-03,BUY,512480,8900,1.093
2025-04-01,SELL,512480,8900,1.05
2025-04-01,BUY,512400,8600,1.08
2025-05-06,SELL,512400,8600,1.057
2025-05-06,BUY,159928,11100,0.819
2025-06-03,SELL,159928,11100,0.823
2025-06-03,BUY,512890,7800,1.169
2025-07-01,SELL,512890,7800,1.197
2025-07-01,BUY,512660,8100,1.143
2025-08-01,SELL,512660,8100,1.167
2025-08-01,BUY,515050,6900,1.372
2025-09-01,SELL,515050,6900,2.027
2025-09-01,BUY,515050,6900,2.027
2025-10-09,SELL,515050,6900,2.151
2025-10-09,BUY,515050,6800,2.151
2025-10-09,BUY,159801,200,0.97
2025-11-03,SELL,515050,6800,2.128
2025-11-03,SELL,159801,200,0.868
2025-11-03,BUY,515050,6800,2.128
2025-11-03,BUY,159875,200,0.7
2025-12-01,SELL,515050,6800,2.082
2025-12-01,SELL,159875,200,0.67
2025-12-01,BUY,159875,21300,0.67
2026-01-05,SELL,159875,21300,0.689
2026-01-05,BUY,512660,10400,1.407
2026-02-02,STOP,512660,10400,1.42
2026-02-02,BUY,512400,7000,2.105
2026-03-02,SELL,512400,7000,2.498
2026-03-02,BUY,512400,6900,2.498
2026-03-02,BUY,512660,100,1.588
2026-03-17,STOP,512400,6900,2.091
2026-03-20,STOP,512660,100,1.325
2026-04-01,BUY,168204,7100,2.053
2026-05-06,SELL,168204,7100,2.226
2026-05-06,BUY,515050,5200,3.036
2026-05-14,STOP,515050,5200,1.133
2026-06-01,BUY,512480,2800,2.046
