signal_date,risk_budget,breadth,selected
2022-06-24,0.25,0.5625,"515030,159875,159928,512690"
2022-07-01,0.25,1.0,"515030,159875,512400,512690"
2022-07-08,0.25,0.875,"515030,159875,512690,159928"
2022-07-15,0.25,0.5,"159875,515030,512660,512690"
2022-07-22,0.25,0.5625,"512660,159875,168204,512010"
2022-07-29,0.25,0.5,"159875,512660,515030,168204"
2022-08-05,0.25,0.75,"512480,512660,512760,159875"
2022-08-12,0.25,0.9375,"512660,168204,512480,512760"
2022-08-19,0.25,0.875,"168204,512760,515050,159875"
2022-08-26,0.25,0.6875,"168204,510880,512000,512890"
2022-09-02,0.0,0.3125,"512890,168204,510880,512660"
2022-09-09,0.0,0.4375,"168204,512890,510880,512660"
2022-09-16,0.0,0.25,"168204,512890,510880,512660"
2022-09-23,0.0,0.25,"512890,168204,512660,510880"
2022-09-30,0.0,0.125,"168204,510880"
2022-10-14,0.0,0.1875,"168204,512890,510880"
2022-10-21,0.0,0.0625,510880
2022-10-28,0.0,0.0625,512660
2022-11-04,0.0,0.0625,512660
2022-11-11,0.0,0.0,
2022-11-18,0.0,0.0625,512010
2022-11-25,0.0,0.125,"512890,510880"
2022-12-02,0.0,0.1875,"512890,510880,512000"
2022-12-09,0.0,0.3125,"512690,159928,512000,510880"
2022-12-16,0.0,0.3125,"512690,159928,510880,512890"
2022-12-23,0.0,0.125,"512690,159928"
2022-12-30,0.0,0.1875,"512690,512010,159928"
2023-01-06,0.0,0.25,"512690,512010,159928,512000"
2023-01-13,0.25,0.3125,"512690,159928,512010,512000"
2023-01-20,0.75,0.6875,"512010,512000,512400,515050"
2023-02-03,1.0,0.875,"512000,512400,515050,512690"
2023-02-10,1.0,0.8125,"515050,512690,512000,512760"
2023-02-17,0.25,0.6875,"515050,512690,512890,159928"
2023-02-24,0.25,0.8125,"512890,512690,515050,159928"
2023-03-03,1.0,0.875,"512690,512890,159928,515050"
2023-03-10,0.25,0.5,"515050,512690,512890,512660"
2023-03-17,0.25,0.625,"512890,512480,515050,512760"
2023-03-24,0.25,0.625,"515050,512480,512760,159801"
2023-03-31,0.25,0.5625,"512480,515050,512760,159995"
2023-04-07,0.75,0.6875,"512760,512480,159995,515050"
2023-04-14,0.75,0.625,"512760,512480,159995,159801"
2023-04-21,0.25,0.5,"512760,512480,159801,515050"
2023-04-28,0.25,0.5,"512890,510880,512000,512480"
2023-05-05,0.0,0.375,"512890,510880,512000,512480"
2023-05-12,0.0,0.1875,"512890,510880,512000"
2023-05-19,0.25,0.5625,"512890,510880,512000,515050"
2023-05-26,0.0,0.3125,"515050,512890,512760,510880"
2023-06-02,0.0,0.4375,"515050,512760,512480,159801"
2023-06-09,0.0,0.1875,"515050,512890,510880"
2023-06-16,0.0,0.375,"515050,512480,512760,159801"
2023-06-30,0.0,0.1875,"515050,512660,512890"
2023-07-07,0.0,0.125,"515050,512890"
2023-07-14,0.0,0.1875,"515050,512890,510880"
2023-07-21,0.0,0.1875,"512890,510880,515050"
2023-07-28,0.5,0.375,"512000,512890,512690,510880"
2023-08-04,0.5,0.4375,"512000,512690,159928,512890"
2023-08-11,0.0,0.1875,"512000,512890,510880"
2023-08-18,0.0,0.1875,"512000,512890,510880"
2023-08-25,0.0,0.125,"512000,510880"
2023-09-01,0.0,0.25,"168204,510880,512690,512000"
2023-09-08,0.0,0.1875,"168204,512690,512000"
2023-09-15,0.0,0.25,"168204,510880,512890,512000"
