date,portfolio,count
2018-01-05,511010,1
2018-01-12,511010,1
2018-01-19,511010,1
2018-01-26,511010,1
2018-02-02,511010,1
2018-02-09,511010,1
2018-02-23,511010,1
2018-03-02,511010,1
2018-03-09,511010,1
2018-03-16,511010,1
2018-03-23,511010,1
2018-03-30,511010,1
2018-04-13,511010,1
2018-04-20,511010,1
2018-04-27,511010,1
2018-05-04,511010,1
2018-05-11,511010,1
2018-05-18,511010,1
2018-05-25,511010,1
2018-06-01,511010,1
2018-06-08,511010,1
2018-06-15,511010,1
2018-06-22,511010,1
2018-06-29,511010,1
2018-07-06,"511010,518880",2
2018-07-13,511010,1
2018-07-20,511010,1
2018-07-27,"511010,518880",2
2018-08-03,511010,1
2018-08-10,511010,1
2018-08-17,511010,1
2018-08-24,511010,1
2018-08-31,511010,1
2018-09-07,511010,1
2018-09-14,"518880,511010",2
2018-09-21,"510050,518880,511010,510300",4
2018-09-28,"510050,510300,511010",3
2018-10-12,"518880,511010",2
2018-10-19,"518880,511010",2
2018-10-26,"518880,511010",2
2018-11-02,"518880,511010,510050,510300",4
2018-11-09,"518880,511010",2
2018-11-16,"510500,511010,518880,159915",4
2018-11-23,"511010,518880",2
2018-11-30,"511010,518880",2
2018-12-07,"511010,518880",2
2018-12-14,"518880,511010",2
2018-12-21,"518880,511010",2
2018-12-28,"518880,511010",2
2019-01-04,"518880,511010",2
2019-01-11,"518880,511010",2
2019-01-18,"510500,518880,511010",3
2019-01-25,"510050,511010,518880",3
2019-02-01,"510050,510300,518880,511010",4
2019-02-15,"510050,510300,518880,159915,511010",5
2019-02-22,"159915,510300,510500,510050,518880,511010",6
2019-03-01,"159915,510300,512660,510500,510050,511010",6
2019-03-08,"159915,510500,512660,510300,510050,511010",6
2019-03-15,"159915,510500,512660,510300,510050,511010",6
2019-03-22,"159915,510500,512660,512010,510300,511010",6
2019-03-29,"510500,159915,512660,512010,510300,511010",6
2019-04-12,"510500,512010,159915,510300,512660,511010",6
2019-04-19,"510300,510500,510050,512660,159915,511010",6
2019-04-26,"159915,510300,510050,510500,512010,511010",6
2019-05-10,511010,1
2019-05-17,"518880,511010",2
2019-05-24,"518880,511010",2
2019-05-31,"518880,511010",2
2019-06-14,"518880,511010",2
2019-06-21,"510050,518880,510300,511010",4
2019-06-28,"510050,518880,510300,511010",4
2019-07-05,"510050,512660,510300,159915,518880,511010",6
2019-07-12,"510050,510300,518880,511010",4
2019-07-19,"518880,159915,512660,511010,510300",5
2019-07-26,"512660,159915,510300,510050,518880,511010",6
2019-08-02,"518880,159915,512660,510050,510300,511010",6
2019-08-09,"518880,511010",2
2019-08-16,"518880,159915,510050,511010,512660",5
2019-08-23,"518880,159915,510050,511010,512660",5
2019-08-30,"518880,512660,159915,510300,510050,511010",6
